trade_id,ticker,strategy,direction,entry_time,entry_price,shares,exit_time,exit_price,exit_reason,stop,target,hmm_state,gross_pnl,net_pnl,total_costs,limiting_factor
77d89bcf,CSCO,TREND_FOLLOW,SHORT,2021-07-09 14:00:00,53.71,195,2021-07-14 09:30:00,53.5,MAX_HOLD,54.38,52.37,Normal,40.950000000000166,36.291206250000165,4.65879375,KELLY_CRITERION
32f2f3cd,QCOM,TREND_FOLLOW,SHORT,2021-07-12 14:00:00,142.03,73,2021-07-14 09:30:00,144.79,STOP_HIT,144.79,136.5,Normal,-201.47999999999934,-205.83428542499934,4.3542854250000005,KELLY_CRITERION
aa8f015b,AVGO,TREND_FOLLOW,LONG,2021-07-12 14:55:00,48.439,216,2021-07-15 13:55:00,47.36,STOP_HIT,47.36,50.59,Normal,-233.06400000000014,-237.40041600000012,4.336416,KELLY_CRITERION
4fb71d35,AMD,TREND_FOLLOW,SHORT,2021-07-16 14:00:00,86.12,121,2021-07-21 09:30:00,87.25,MAX_HOLD,89.07,80.23,Normal,-136.72999999999945,-141.16245687499946,4.432456875000001,KELLY_CRITERION
c210e3e8,HON,ORB,SHORT,2021-07-19 09:55:00,210.6692,80,2021-07-19 15:55:00,208.0773,EOD,213.5815,204.84,Normal,207.3519999999985,200.70246553999849,6.64953446,KELLY_CRITERION
d60ce3b6,MA,ORB,SHORT,2021-07-19 10:00:00,369.32,45,2021-07-19 15:55:00,365.74,EOD,378.6,350.76,Normal,161.09999999999928,154.52821674999927,6.57178325,KELLY_CRITERION
38e6253d,IWM,STRESS_ORB,SHORT,2021-07-23 09:50:00,217.8201,28,2021-07-23 15:55:00,219.5,EOD,219.95,213.56,Stress,-47.0372000000001,-50.6346750000001,3.5974749999999998,KELLY_CRITERION
7a9108a3,MSFT,TREND_FOLLOW,LONG,2021-07-26 14:00:00,288.99,36,2021-07-27 10:40:00,284.88,STOP_HIT,284.88,297.22,Normal,-147.9600000000005,-151.8994880000005,3.939488,KELLY_CRITERION
e89e05e4,XOM,TREND_FOLLOW,SHORT,2021-07-26 14:00:00,58.185,180,2021-08-02 09:30:00,57.55,MAX_HOLD,59.82,54.92,Normal,114.30000000000092,109.72437750000093,4.5756225,KELLY_CRITERION
c789456f,PYPL,PE_SHORT,SHORT,2021-07-29 09:30:00,285.37,70,2021-07-30 15:55:00,275.52,EOD,294.82,266.48,Normal,689.5000000000016,681.8557340000016,7.644266,POSITION_LIMIT
8434b4bf,CVX,ORB,SHORT,2021-08-19 09:55:00,94.1013,179,2021-08-19 15:55:00,94.28,EOD,95.31,91.68,Normal,-31.987300000001127,-39.01944030000113,7.032140299999999,KELLY_CRITERION
42c9a457,TSLA,TREND_FOLLOW,SHORT,2021-08-19 14:00:00,224.9,46,2021-08-23 09:50:00,232.38,STOP_HIT,232.38,209.93,Normal,-344.07999999999953,-348.4742486999995,4.3942487,KELLY_CRITERION
2a3dcfb4,AVGO,TREND_FOLLOW,LONG,2021-08-19 14:00:00,47.339,221,2021-08-24 09:30:00,48.24,MAX_HOLD,46.55,48.92,Normal,199.12100000000075,194.61613600000075,4.504864,KELLY_CRITERION
552c710e,CRM,ORB,LONG,2021-08-27 10:20:00,270.38,62,2021-08-27 11:35:00,266.1038,STOP_HIT,266.1038,278.93,Normal,-265.12440000000106,-271.24885246000105,6.124452459999999,KELLY_CRITERION
57eb2ce7,REGN,TREND_FOLLOW,SHORT,2021-08-27 14:00:00,667.32,15,2021-09-01 09:30:00,674.72,MAX_HOLD,686.02,629.93,Normal,-110.99999999999966,-115.17352699999967,4.173527000000001,KELLY_CRITERION
ef236677,MS,TREND_FOLLOW,LONG,2021-08-27 14:00:00,105.295,99,2021-08-31 09:55:00,103.39,STOP_HIT,103.39,109.11,Normal,-188.5950000000001,-192.52746350000012,3.9324635000000003,KELLY_CRITERION
5a344fcd,INTU,TREND_FOLLOW,SHORT,2021-09-17 14:00:00,562.66,18,2021-09-20 15:55:00,554.4,CIRCUIT_BREAKER,571.39,545.2,Normal,148.67999999999984,144.55934199999984,4.120658000000001,KELLY_CRITERION
499c3272,MMM,TREND_FOLLOW,LONG,2021-09-17 14:00:00,152.0318,69,2021-09-20 09:30:00,149.29,STOP_HIT,149.29,157.52,Normal,-189.18420000000083,-193.13955350000083,3.9553535,KELLY_CRITERION
d732a95b,AAPL,ORB,SHORT,2021-09-20 10:20:00,142.799,118,2021-09-20 15:55:00,142.97,EOD,144.84,138.72,Normal,-20.177999999999088,-26.982608649999086,6.8046086500000005,KELLY_CRITERION
28de7862,COST,TREND_FOLLOW,LONG,2021-09-24 14:00:00,465.95,11,2021-09-28 09:30:00,455.05,STOP_HIT,455.05,487.76,Stress,-119.89999999999975,-122.75277499999974,2.8527750000000003,KELLY_CRITERION
3d5d1157,AMGN,TREND_FOLLOW,SHORT,2021-09-24 14:00:00,213.44,24,2021-09-29 09:30:00,212.5,MAX_HOLD,219.73,200.86,Stress,22.559999999999945,19.515069999999945,3.04493,KELLY_CRITERION
bbe3b2ff,TSLA,TREND_FOLLOW,LONG,2021-09-27 14:00:00,265.6017,39,2021-09-29 12:20:00,258.53,STOP_HIT,258.53,279.74,Normal,-275.7963000000008,-279.67523450000084,3.8789344999999993,KELLY_CRITERION
3125a66f,CSCO,TREND_FOLLOW,LONG,2021-10-01 14:00:00,55.08,190,2021-10-06 09:30:00,54.345,MAX_HOLD,53.92,57.4,Normal,-139.6499999999999,-143.9289424999999,4.278942499999999,KELLY_CRITERION
2b205027,HON,TREND_FOLLOW,LONG,2021-10-01 14:00:00,202.771,51,2021-10-06 09:30:00,201.4797,MAX_HOLD,199.71,208.9,Normal,-65.8562999999989,-69.80271264499889,3.9464126450000006,KELLY_CRITERION
c9f82712,SPY,STRESS_ORB,SHORT,2021-10-04 10:00:00,431.44,14,2021-10-04 11:40:00,426.4,TARGET_HIT,433.96,426.4,Stress,70.56000000000029,67.05830600000029,3.5016939999999996,KELLY_CRITERION
ea50f537,TSLA,TREND_FOLLOW,LONG,2021-10-08 14:00:00,262.1833,20,2021-10-13 09:30:00,270.1567,MAX_HOLD,251.78,282.99,Stress,159.46800000000053,156.41643300000052,3.0515670000000004,KELLY_CRITERION
7e147412,HON,TREND_FOLLOW,LONG,2021-10-08 14:00:00,205.7399,25,2021-10-13 09:30:00,202.9123,MAX_HOLD,201.08,215.06,Stress,-70.69000000000045,-73.57640375000045,2.88640375,KELLY_CRITERION
b5a6bfb8,BIIB,TREND_FOLLOW,SHORT,2021-10-11 14:00:00,285.79,36,2021-10-18 09:30:00,279.42,MAX_HOLD,292.22,272.92,Normal,229.32000000000016,225.16566220000016,4.1543378,KELLY_CRITERION
c89eadf5,COST,TREND_FOLLOW,SHORT,2021-10-15 14:00:00,450.41,23,2021-10-18 12:50:00,458.58,STOP_HIT,458.58,434.07,Normal,-187.90999999999906,-192.24610584999905,4.33610585,KELLY_CRITERION
0474c2bc,REGN,TREND_FOLLOW,SHORT,2021-10-15 14:00:00,554.395,18,2021-10-20 09:30:00,554.24,MAX_HOLD,569.09,525.0,Normal,2.789999999999509,-1.329570800000491,4.1195708,KELLY_CRITERION
423c5a14,SBUX,TREND_FOLLOW,LONG,2021-10-18 14:00:00,113.18,92,2021-10-25 09:30:00,114.74,MAX_HOLD,111.26,117.02,Normal,143.5199999999989,139.4753719999989,4.044628,KELLY_CRITERION
2ebb7681,MRK,PE_SHORT,SHORT,2021-11-05 09:30:00,82.29,243,2021-11-08 15:55:00,82.68,EOD,85.18,76.51,Calm,-94.77000000000014,-102.25781172000013,7.487811720000002,POSITION_LIMIT
cb8f6c48,PYPL,PE_SHORT,SHORT,2021-11-09 09:30:00,212.4,57,2021-11-10 15:55:00,204.605,EOD,225.34,186.52,Calm,444.3150000000009,440.12858992000093,4.18641008,VOLATILITY_TARGET
432f9bd5,IWM,STRESS_ORB,SHORT,2021-11-26 09:55:00,223.55,27,2021-11-26 16:00:00,221.05,EOD,226.17,218.31,Stress,67.5,63.996430375,3.5035696250000004,KELLY_CRITERION
8d298f13,SPY,STRESS_ORB,SHORT,2021-11-26 10:00:00,460.28,13,2021-11-26 16:00:00,456.9,EOD,463.9,453.04,Stress,43.93999999999994,40.45427324999994,3.4857267499999995,KELLY_CRITERION
854659dd,QQQ,STRESS_MID,SHORT,2021-11-26 10:15:00,393.49,46,2021-11-26 16:00:00,390.59,EOD,396.45606,387.55788000000007,Stress,133.40000000000157,123.56336365000158,9.836636349999997,KELLY_CRITERION
91c65c6d,SPY,STRESS_ORB,SHORT,2021-12-03 09:50:00,455.14,13,2021-12-03 15:55:00,453.43,EOD,460.3,444.82,Stress,22.229999999999734,18.768068774999733,3.461931225,KELLY_CRITERION
079bdb65,QQQ,STRESS_ORB,SHORT,2021-12-03 09:50:00,386.06,16,2021-12-03 15:55:00,383.21,EOD,392.34,373.5,Stress,45.600000000000364,42.012587600000366,3.5874124,KELLY_CRITERION
ddabbeb4,IWM,STRESS_MID,SHORT,2021-12-03 10:15:00,216.88,84,2021-12-03 11:55:00,213.62342000000007,TARGET_HIT,218.50828999999996,213.62342000000007,Stress,273.552719999994,263.720686259794,9.832033740200002,KELLY_CRITERION
2058e9d8,SPY,STRESS_ORB,SHORT,2021-12-10 09:55:00,468.39,13,2021-12-10 15:45:00,470.08,STOP_HIT,470.08,465.01,Stress,-21.96999999999997,-25.546108599999968,3.5761085999999995,KELLY_CRITERION
fa2c9771,IWM,STRESS_ORB,SHORT,2021-12-10 09:55:00,220.07,28,2021-12-10 15:55:00,219.91,EOD,222.85,214.51,Stress,4.4799999999999045,0.8764692999999051,3.6035306999999994,KELLY_CRITERION
f451f1f3,TSLA,TREND_FOLLOW,LONG,2021-12-10 14:25:00,337.92,11,2021-12-15 09:30:00,317.7367,MAX_HOLD,305.84,402.08,Stress,-222.01630000000034,-224.11385185000034,2.09755185,VOLATILITY_TARGET
24b28a3e,SPY,STRESS_ORB,SHORT,2021-12-17 10:10:00,458.62,13,2021-12-17 10:45:00,462.37,STOP_HIT,462.37,451.12,Stress,-48.75,-52.273237275,3.523237275,KELLY_CRITERION
504f77db,QQQ,STRESS_MID,SHORT,2021-12-17 10:15:00,382.6701,48,2021-12-17 10:45:00,386.77638999999994,STOP_HIT,386.77638999999994,374.4575200000001,Stress,-197.10191999999734,-207.25445819479734,10.152538194799995,KELLY_CRITERION
00a97bed,IWM,STRESS_MID,SHORT,2021-12-17 10:15:00,211.655,86,2021-12-17 10:30:00,212.89267999999998,STOP_HIT,212.89267999999998,209.17964000000003,Stress,-106.44047999999856,-116.46512642819856,10.024646428199997,KELLY_CRITERION
9e1d84f9,NFLX,TREND_FOLLOW,LONG,2021-12-27 14:00:00,61.318,85,2022-01-03 09:30:00,60.561,MAX_HOLD,59.2,65.55,Stress,-64.34499999999983,-67.26884249999983,2.9238425,KELLY_CRITERION
4743b47d,INTC,TREND_FOLLOW,LONG,2021-12-27 14:15:00,51.91,101,2022-01-03 09:30:00,51.65,MAX_HOLD,49.95,55.84,Stress,-26.2599999999998,-29.221824999999797,2.9618249999999993,KELLY_CRITERION
fff04644,XOM,TREND_FOLLOW,LONG,2021-12-27 14:25:00,61.81,84,2022-01-03 09:30:00,61.24,MAX_HOLD,59.77,65.89,Stress,-47.880000000000024,-50.802080000000025,2.92208,KELLY_CRITERION
d945ea59,ADBE,ORB,LONG,2022-01-05 10:00:00,538.19,31,2022-01-05 13:35:00,523.14,STOP_HIT,523.14,568.29,Normal,-466.5500000000021,-472.5760690000021,6.026069,KELLY_CRITERION
576bda27,INTC,ORB,LONG,2022-01-05 10:20:00,55.8,303,2022-01-05 13:35:00,54.04,CIRCUIT_BREAKER,54.04,59.32,Normal,-533.2799999999994,-540.0109419999994,6.730941999999999,KELLY_CRITERION
27e4a54c,MA,ORB,SHORT,2022-01-06 09:55:00,366.9,46,2022-01-06 15:55:00,369.93,EOD,374.215,352.27,Normal,-139.38000000000136,-146.16280445000135,6.7828044499999995,KELLY_CRITERION
0b45abc2,AMAT,ORB,LONG,2022-01-12 10:15:00,158.235,106,2022-01-12 15:55:00,159.56,EOD,154.62,165.47,Normal,140.4499999999988,134.1593239999988,6.290676,KELLY_CRITERION
901194d6,AVGO,TREND_FOLLOW,SHORT,2022-01-12 14:00:00,62.1755,168,2022-01-14 09:30:00,59.35,TARGET_HIT,63.59,59.35,Normal,474.6839999999997,470.2992629999997,4.384737,KELLY_CRITERION
ac0952a1,AMAT,ORB,SHORT,2022-01-13 10:20:00,163.26,103,2022-01-13 15:50:00,156.72,TARGET_HIT,166.53,156.72,Normal,673.6199999999992,667.1457495999992,6.4742504,KELLY_CRITERION
8747eec0,IWM,STRESS_ORB,SHORT,2022-01-19 10:05:00,207.97,30,2022-01-19 15:50:00,204.99,TARGET_HIT,209.46,204.99,Stress,89.3999999999997,85.80018324999969,3.5998167500000005,KELLY_CRITERION
